"year_month","observed","trend","seasonal","deterministic","stochastic"
Jan 2000,-12.6,-7.01591334704232,-5.43706789942981,-12.4529812464721,-0.147018753527867
Feb 2000,-12.3,-7.0119314106118,-6.36924179457234,-13.3811732051841,1.08117320518414
Mar 2000,-11.9,-7.00794947418126,-4.96634686265493,-11.9742963368362,0.0742963368361931
Apr 2000,-9.1,-7.00396753775074,-2.98918015546085,-9.99314769321159,0.893147693211588
May 2000,-4,-6.99998560132022,1.8376001166984,-5.16238548462182,1.16238548462182
Jun 2000,-0.6,-6.99600366488969,4.99328069463384,-2.00272297025584,1.40272297025584
Jul 2000,-2.8,-6.99202172845917,6.97097293921826,-0.0210487892409086,-2.77895121075909
Aug 2000,0.7,-6.98803979202864,7.2460128556076,0.257973063578958,0.442026936421042
Sep 2000,-1.7,-6.98405785559811,4.31566495839537,-2.66839289720274,0.968392897202738
Oct 2000,-5.3,-6.98007591916759,2.06207564927048,-4.91800026989711,-0.381999730102886
Nov 2000,-10.7,-6.97609398273707,-2.71205801175775,-9.68815199449482,-1.01184800550518
Dec 2000,-10.7,-6.97211204630653,-4.98980887451189,-11.9619209208184,1.26192092081843
Jan 2001,-12.6,-6.96813010987601,-5.46143792609874,-12.4295680359748,-0.170431964025248
Feb 2001,-13.6,-6.96414817344549,-6.40697408535855,-13.371122258804,-0.22887774119596
Mar 2001,-10.4,-6.96016623701496,-4.94035087550803,-11.900517112523,1.50051711252299
Apr 2001,-11.3,-6.95618430058444,-2.92256456404185,-9.87874886462629,-1.42125113537371
May 2001,-2.9,-6.95220236415391,1.84946651061105,-5.10273585354286,2.20273585354286
Jun 2001,-3.3,-6.94822042772338,5.07359804263679,-1.87462238508659,-1.42537761491341
Jul 2001,-0.1,-6.94423849129286,6.95723765059353,0.0129991593006737,-0.112999159300674
Aug 2001,1.4,-6.94025655486234,7.2437979560408,0.303541401178465,1.09645859882154
Sep 2001,-6.5,-6.9362746184318,4.31641543577189,-2.61985918265992,-3.88014081734008
Oct 2001,-2.1,-6.93229268200128,2.06860666456387,-4.86368601743741,2.76368601743741
Nov 2001,-9.8,-6.92831074557076,-2.69616553766992,-9.62447628324069,-0.175523716759313
Dec 2001,-14,-6.92432880914023,-5.0701651647828,-11.994493973923,-2.00550602607697
Jan 2002,-10.4,-6.92034687270971,-5.54768407383993,-12.4680309465496,2.06803094654963
Feb 2002,-11.6,-6.91636493627918,-6.46465207715621,-13.3810170134354,1.78101701343539
Mar 2002,-10.8,-6.91238299984865,-4.92827340372748,-11.8406564035761,1.04065640357613
Apr 2002,-10.3,-6.90840106341813,-2.83835522196349,-9.74675628538163,-0.553243714618375
May 2002,-5.5,-6.90441912698761,1.82908665051583,-5.07533247647178,-0.424667523528223
Jun 2002,-0.1,-6.90043719055708,5.13873067284235,-1.76170651771473,1.66170651771473
Jul 2002,-0.1,-6.89645525412655,6.96003789300495,0.0635826388783922,-0.163582638878392
Aug 2002,-0.6,-6.89247331769603,7.2405903405506,0.348117022854565,-0.948117022854565
Sep 2002,-3.7,-6.8884913812655,4.34339037995031,-2.54510100131519,-1.15489899868481
Oct 2002,-5.5,-6.88450944483498,2.0872689757984,-4.79724046903658,-0.702759530963421
Nov 2002,-9.7,-6.88052750840446,-2.66906588676675,-9.5495933951712,-0.150406604828795
Dec 2002,-10.7,-6.87654557197392,-5.09481928777634,-11.9713648597503,1.27136485975026
Jan 2003,-14.1,-6.8725636355434,-5.64027293794948,-12.5128365734929,-1.58716342650712
Feb 2003,-16,-6.86858169911288,-6.52853376955271,-13.3971154686656,-2.60288453133441
Mar 2003,-9.5,-6.86459976268235,-4.92226061677625,-11.7868603794586,2.2868603794586
Apr 2003,-9.6,-6.86061782625183,-2.75963846051847,-9.6202562867703,0.0202562867702962
May 2003,-4.1,-6.8566358898213,1.80378631398326,-5.05284957583805,0.952849575838046
Jun 2003,2.2,-6.85265395339077,5.19969233099289,-1.65296162239788,3.85296162239788
Jul 2003,1,-6.84867201696025,6.95941666774366,0.110744650783408,0.889255349216592
Aug 2003,3,-6.84469008052973,7.23467848075729,0.389988400227567,2.61001159977243
Sep 2003,-1.7,-6.8407081440992,4.36837830319524,-2.47232984090395,0.77232984090395
Oct 2003,-7.3,-6.83672620766867,2.10448488932522,-4.73224131834345,-2.56775868165655
Nov 2003,-7.1,-6.83274427123815,-2.6428720103455,-9.47561628158365,2.37561628158365
Dec 2003,-11.2,-6.82876233480762,-5.12007101260137,-11.948833347409,0.74883334740899
Jan 2004,-14.5,-6.8247803983771,-5.73315123124007,-12.5579316296172,-1.94206837038283
Feb 2004,-13,-6.82079846194658,-6.59258417737164,-13.4133826393182,0.413382639318215
Mar 2004,-12.6,-6.81681652551604,-4.91629583148882,-11.7331123570049,-0.866887642995136
Apr 2004,-9.9,-6.81283458908552,-2.68094646733594,-9.49378105642146,-0.406218943578542
May 2004,-6.9,-6.808852652655,1.7784844425895,-5.03036821006549,-1.86963178993451
Jun 2004,-2.6,-6.80487071622447,5.26065322171283,-1.54421749451163,-1.05578250548837
Jul 2004,-0.7,-6.80088877979394,6.95879544248236,0.157906662688421,-0.857906662688421
Aug 2004,0.1,-6.79690684336342,7.22876453608773,0.431857692724307,-0.331857692724307
Sep 2004,-1.3,-6.79292490693289,4.39336205668765,-2.39956285024524,1.09956285024524
Oct 2004,-4.5,-6.78894297050237,2.12166272002183,-4.66728025048053,0.167280250480534
Nov 2004,-10.3,-6.78496103407185,-2.61675012983214,-9.40171116390399,-0.898288836096015
Dec 2004,-11,-6.78097909764131,-5.14550799827585,-11.9264870959172,0.926487095917164
Jan 2005,-13.8,-6.77699716121079,-5.82632805032169,-12.6033252115325,-1.19667478846752
Feb 2005,-18.4,-6.77301522478027,-6.65708606866356,-13.4301012934438,-4.96989870655617
Mar 2005,-12.2,-6.76903328834974,-4.91093548735636,-11.6799687757061,-0.5200312242939
Apr 2005,-9.3,-6.76505135191921,-2.60296811637744,-9.36801946829665,0.0680194682966526
May 2005,-4.9,-6.76106941548869,1.75235972790265,-5.00870968758604,0.108709687586038
Jun 2005,-1,-6.75708747905816,5.32080069446497,-1.43628678459319,0.43628678459319
Jul 2005,-0.5,-6.75310554262764,6.95737022457856,0.204264681950919,-0.704264681950919
Aug 2005,-1.6,-6.74912360619712,7.22221648641249,0.47309288021537,-2.07309288021537
Sep 2005,-1.7,-6.74514166976658,4.41788159281122,-2.32726007695536,0.627260076955359
Oct 2005,-2.6,-6.74115973333606,2.13868638435062,-4.60247334898544,2.00247334898544
Nov 2005,-11,-6.73717779690554,-2.5904723646856,-9.32765016159114,-1.67234983840886
Dec 2005,-14.6,-6.73319586047501,-5.17031371982728,-11.9035095803023,-2.69649041969771
Jan 2006,-13.5,-6.72921392404449,-5.90611481905351,-12.635328743098,-0.864671256902003
Feb 2006,-14.7,-6.72523198761396,-6.64674595454916,-13.3719779421631,-1.32802205783688
Mar 2006,-13.4,-6.72125005118343,-4.91755680663795,-11.6388068578214,-1.76119314217861
Apr 2006,-9.5,-6.71726811475291,-2.57461762747302,-9.29188574222592,-0.208114257774076
May 2006,-5.6,-6.71328617832239,1.69298733134559,-5.0202988469768,-0.579701153023201
Jun 2006,-1,-6.70930424189185,5.36017715854325,-1.3491270833486,0.349127083348601
Jul 2006,2.8,-6.70532230546133,6.97764762667871,0.272325321217378,2.52767467878262
Aug 2006,-3.4,-6.70134036903081,7.22197610118543,0.520635732154615,-3.92063573215461
Sep 2006,0.1,-6.69735843260028,4.43630738002899,-2.26105105257129,2.36105105257129
Oct 2006,-2.3,-6.69337649616976,2.13581206349688,-4.55756443267288,2.25756443267288
Nov 2006,-7.9,-6.68939455973923,-2.58212819426137,-9.2715227540006,1.3715227540006
Dec 2006,-9.3,-6.6854126233087,-5.14797534586279,-11.8333879691715,2.53338796917149
Jan 2007,-10.6,-6.68143068687818,-5.98438362403673,-12.6658143109149,2.06581431091491
Feb 2007,-10.3,-6.67744875044766,-6.6353167137294,-13.3127654641771,3.01276546417705
Mar 2007,-12.5,-6.67346681401713,-4.92351783625744,-11.5969846502746,-0.903015349725436
Apr 2007,-5.7,-6.6694848775866,-2.54592690758072,-9.21541178516732,3.51541178516732
May 2007,-4.9,-6.66550294115608,1.63363510710216,-5.03186783405392,0.131867834053919
Jun 2007,-1.4,-6.66152100472555,5.39939827188124,-1.26212273284431,-0.137877267155691
Jul 2007,-1,-6.65753906829503,6.99759415498463,0.340055086689603,-1.3400550866896
Aug 2007,-0.2,-6.6535571318645,7.22138673824568,0.567829606381179,-0.767829606381179
Sep 2007,-4.1,-6.64957519543397,4.45436608561563,-2.19520910981834,-1.90479089018166
Oct 2007,-4.5,-6.64559325900345,2.1326290640549,-4.51296419494855,0.0129641949485455
Nov 2007,-10.2,-6.64161132257293,-2.57403429938247,-9.2156456219554,-0.9843543780446
Dec 2007,-12.6,-6.6376293861424,-5.12582221963967,-11.7634516057821,-0.836548394217933
Jan 2008,-10.3,-6.63364744971187,-6.06277264895734,-12.6964200986692,2.39642009866921
Feb 2008,-9.5,-6.62966551328135,-6.62396166406777,-13.2536271773491,3.75362717734913
Mar 2008,-14.1,-6.62568357685082,-4.9295070282558,-11.5551906051066,-2.54480939489338
Apr 2008,-11.1,-6.6217016404203,-2.51725083216609,-9.13895247258639,-1.96104752741361
May 2008,-4.5,-6.61771970398978,1.57428175628227,-5.04343794770751,0.543437947707509
Jun 2008,-0.7,-6.61373776755924,5.43861882193099,-1.17511894562825,0.475118945628251
Jul 2008,-0.2,-6.60975583112872,7.01754068329055,0.407784852161828,-0.607784852161828
Aug 2008,0.6,-6.6057738946982,7.22079181074024,0.615017916042043,-0.0150179160420431
Sep 2008,-3.5,-6.60179195826767,4.47241366207087,-2.1293782961968,-1.3706217038032
Oct 2008,-4.5,-6.59781002183715,2.12937714680805,-4.46843287502909,-0.0315671249709055
Nov 2008,-10.9,-6.59382808540662,-2.56606711098194,-9.15989519638856,-1.74010480361144
Dec 2008,-13.4,-6.58984614897609,-5.10397595767395,-11.69382210665,-1.70617789334996
Jan 2009,-13.9,-6.58586421254557,-6.14164869591439,-12.72751290846,-1.17248709154004
Feb 2009,-16.1,-6.58188227611505,-6.61340540947441,-13.1952876855895,-2.90471231441055
Mar 2009,-12.8,-6.57790033968451,-4.93660678835424,-11.5145071280387,-1.28549287196125
Apr 2009,-8.9,-6.57391840325399,-2.49008058103325,-9.06399898428724,0.163998984287241
